Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C2960S-24PS-L#JV#PACK8103-2,1538499600,FOC1622W3C8,0,39,wh by viet,2019-08-06T01:52:19.000Z,WS-C2960S-24PS-L#JV#PACK8103-2,WS-C2960S-24PS-L
USEB,PWR-C1-715WAC#JV,1536598800,LIT18060446,0,39,From:  IP China,2019-08-06T01:52:19.000Z,PWR-C1-715WAC#JV,PWR-C1-715WAC
USEB,C2960X-STACK#JV,1536598800,FOC1934564D,0,39,From:  IP China,2019-08-06T01:52:19.000Z,C2960X-STACK#JV,C2960X-STACK
USEB,C2960X-STACK#JV,1536598800,FOC19116PJW,0,39,From:  IP China,2019-08-06T01:52:19.000Z,C2960X-STACK#JV,C2960X-STACK
USEB,C2960X-STACK#JV,1536598800,FOC19346Y9N,0,39,From:  IP China,2019-08-06T01:52:19.000Z,C2960X-STACK#JV,C2960X-STACK
USEB,C2960X-STACK#JV,1536598800,FOC193455MJ,0,39,From:  IP China,2019-08-06T01:52:19.000Z,C2960X-STACK#JV,C2960X-STACK
USEB,WS-C2960X-48LPS-L#JV,1536598800,FOC2016S257,0,39,From:  IP China,2019-08-06T01:52:19.000Z,WS-C2960X-48LPS-L#JV,WS-C2960X-48LPS-L
USEB,ME-3400EG-2CS-A#JV#PACK8102-2,1538586000,FOC1526V0KX,0,39,wh by E,2019-08-06T01:52:19.000Z,ME-3400EG-2CS-A#JV#PACK8102-2,ME-3400EG-2CS-A
USEB,ME-3400EG-2CS-A#JV#PACK8102-2,1538586000,FOC1506V2XN,0,39,wh by E,2019-08-06T01:52:19.000Z,ME-3400EG-2CS-A#JV#PACK8102-2,ME-3400EG-2CS-A
USEB,ME-3400EG-2CS-A#JV#PACK8102-2,1538586000,FCW1843H0L3,0,39,wh by E,2019-08-06T01:52:19.000Z,ME-3400EG-2CS-A#JV#PACK8102-2,ME-3400EG-2CS-A
USEB,C3KX-PWR-350WAC#JV#PACK8104,1538586000,DCB165197S9,0,39,wh by viet,2019-08-06T01:52:19.000Z,C3KX-PWR-350WAC#JV#PACK8104,C3KX-PWR-350WAC
USEB,CISCO2811-SEC/K9#CISCO2811/K9#JV#RMA,1537376400,FTX1117A46P,1,39,Robert Lud,2019-08-06T02:05:21.000Z,CISCO2811-SEC/K9#CISCO2811/K9#JV#RMA,CISCO2811-SEC/K9
USEB,CISCO2901-SEC/K9#CISCO2951/K9#JV,1538672400,FJC1921A14Q,0,39,pack from Evan,2019-08-06T01:52:20.000Z,CISCO2901-SEC/K9#CISCO2951/K9#JV,CISCO2901-SEC/K9
USEB,WS-C2960C-8PC-L#JV,1539363600,FOC1905Y3RH,0,39,From: ciscoking,2019-08-06T01:52:28.000Z,WS-C2960C-8PC-L#JV,WS-C2960C-8PC-L
USEB,WS-C2960C-8PC-L#JV,1539363600,FOC2020Z1YS,0,39,From: ciscoking,2019-08-06T01:52:28.000Z,WS-C2960C-8PC-L#JV,WS-C2960C-8PC-L
USEB,WS-C3750E-24TD-S#WS-C3750E-24TD-E#JV#PALLET,1539536400,FDO1224V0P5,0,39,wh By Nam,2019-08-06T02:05:21.000Z,WS-C3750E-24TD-S#WS-C3750E-24TD-E#JV#PALLET,WS-C3750E-24TD-S
USEB,WS-C3750E-24TD-S#WS-C3750E-24TD-E#JV#PALLET,1539536400,FDO1224V12C,1,39,wh By Nam,2019-08-06T02:05:21.000Z,WS-C3750E-24TD-S#WS-C3750E-24TD-E#JV#PALLET,WS-C3750E-24TD-S
USEB,WS-C2960CX-8PC-L#JV#PACK8122-2,1539536400,FOC2030Z4UL,0,39,"wh by E

From : mobrien_5",2019-08-06T01:52:28.000Z,WS-C2960CX-8PC-L#JV#PACK8122-2,WS-C2960CX-8PC-L
USEB,WS-C2960CX-8PC-L#JV#PACK8122-2,1539536400,FOC2030Z2R3,0,39,"wh by E

From : mobrien_5",2019-08-06T01:52:28.000Z,WS-C2960CX-8PC-L#JV#PACK8122-2,WS-C2960CX-8PC-L
