Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414234U,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414236H,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424P5,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142351,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM142723EV,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424VE,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141421VT,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM133523P3,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142656,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142642,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#P3120,1447606800,AGM1414235Z,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#P3120,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141425HV,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141423MR,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-LH-SMD#JV#X01,1447606800,AGA1550ULY7,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,AGA1542UHRZ,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,FNS16421B7B,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,FNS16421AYX,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,FNS170311TC,0,39,Wh by Trung,2019-08-06T01:58:56.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,FNS170207AW,0,39,Wh by Trung,2019-08-06T01:58:56.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,SPC153909MS,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,GLC-LH-SMD#JV#X01,1447606800,SPC153909MR,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
