"67","7","783","FGL1717X3CC",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:23","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"68","7","783","FGL1717X41C",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:23","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"69","7","783","FGL1729X0HF",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"70","7","783","FGL1717X3BX",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:06","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"71","7","783","FGL1717X3A0",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"72","7","783","FGL1729X0FG",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"73","7","783","FGL1717X41Y",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"74","7","783","FGL1717X3BY",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"75","7","783","FGL1717X42U",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"76","7","783","FGL1717X3CH",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:24","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"77","7","783","FGL1717X3DA",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:06","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"78","7","783","FGL1711S8YD",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:06","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"79","7","783","FGL1717X3ZG",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:06","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"80","7","784","FGL1717X34W",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:33","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"81","7","784","FGL1742W6QX",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:33","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"82","7","784","FGL1717X354",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:33","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"83","7","784","FGL1717W3WJ",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:33","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"84","7","784","FGL1717S57N",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"85","7","784","FGL1717X35Y",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"86","7","784","FGL1717S590",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:33","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"87","7","784","FGL1717S58A",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"88","7","784","FGL1717S58H",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"89","7","784","FGL1717S58J",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"90","7","784","FGL1717X35T",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:34","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"91","7","784","FGL1717X35U",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:35","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"92","7","784","FGL1717X35R",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:35","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"93","7","784","FGL1717X35L",NULL,"8.BOX.0164; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:22:35","3000","1","1","8.BOX.0164",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"94","7","783","FGL1717X3A3",NULL,"8.BOX.0144; 07/05/2020
