Supplier,Condition,Model,ReceivedDate,SerialNumber,StockStatus,Note,oldModelName,newModelName
39,USEB,WS-C2960S-48TS-S,1420390800,FOC1637Z2KL,0,osi hardware--,WS-C2960S-48TS-S,WS-C2960S-48TS-S
39,USEB,WS-C3750-24TS-S,1420390800,CAT1016Z0BS,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750-24TS-S,1420390800,CAT1016Z0B3,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750-24TS-S,1420390800,CAT1032RH0Z,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750G-24T-E,1420390800,FDO1608X27F,0,osi hardware--,WS-C3750G-24T-E,WS-C3750G-24T-E
39,USEB,WS-C3750-24TS-S,1420390800,CAT1015N2BJ,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750-24TS-S,1420390800,CAT1015N2BA,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750-24TS-S,1420390800,CAT1015Z2TP,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,ASA5520-AIP10-K9,1420390800,JMX1546X03G,0,osi hardware--,ASA5520-AIP10-K9,ASA5520-AIP10-K9
39,USEB,WS-C3560G-48PS-S,1420390800,FOC1223Z4S9,0,osi hardware--,WS-C3560G-48PS-S,WS-C3560G-48PS-S
39,USEB,WS-C3750G-24PS-S,1420390800,FOC1232Y3VC,0,WH by :Long--osi hardware,WS-C3750G-24PS-S,WS-C3750G-24PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1308W1EH,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1141Z5YS,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1347Z2G0,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1502Z26L,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1116Y41T,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1016Y2ZC,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1402W2HK,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1244W2S2,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48TS-E,1420390800,FOC1523V1T9,0,osi hardware--,WS-C3750G-48TS-E,WS-C3750G-48TS-E
39,USEB,WS-C3750G-48TS-E,1420390800,FOC1522Z1K7,0,osi hardware--,WS-C3750G-48TS-E,WS-C3750G-48TS-E
39,USEB,WS-C3750G-48TS-E,1420390800,FOC1515V0VC,0,osi hardware--,WS-C3750G-48TS-E,WS-C3750G-48TS-E
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1250W62F,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1322Z1EW,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1143Y5YC,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1349W405,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC0941U2X4,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1213W0FN,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-48PS-S,1420390800,FOC1450Y3TL,0,osi hardware--,WS-C3750G-48PS-S,WS-C3750G-48PS-S
39,USEB,WS-C3750G-24PS-E,1420390800,FOC1235Z407,0,WH by Long--osi hardware,WS-C3750G-24PS-E,WS-C3750G-24PS-E
39,USEB,CISCO2801-V/K9#CISCO2801,1420390800,FHK1310F210,0,osi hardware--,CISCO2801-V/K9#CISCO2801,CISCO2801-V/K9
39,USEB,HWIC-3G-GSM,1420390800,FOC123455AA,0,osi hardware--,HWIC-3G-GSM,HWIC-3G-GSM
39,USEB,CISCO871-K9,1420390800,FHK11201AQ1,0,osi hardware--,CISCO871-K9,CISCO871-K9
39,USEB,CISCO871-K9,1420390800,FHK1051180J,0,osi hardware--,CISCO871-K9,CISCO871-K9
39,USEB,CISCO871-K9,1420390800,FHK1051180H,0,osi hardware--,CISCO871-K9,CISCO871-K9
39,USEB,CISCO871-K9,1420390800,FHK10511809,0,osi hardware--,CISCO871-K9,CISCO871-K9
